Dataset,Model,Accuracy,F1-Score
Wine,Random Forest,1.0,1.0
make_circles,SVM (RBF),1.0,1.0
Credit Card Fraud,Random Forest,0.9994616293903538,0.910021455415226
Digits,SVM (RBF),0.9833333333333332,0.9832814731575896
Breast Cancer,SVM (RBF),0.9766081871345028,0.9751814223512336
MNIST,Random Forest,0.964904761904762,0.9646111117902862
make_moons,KNN,0.9583333333333334,0.9583217560433454
Iris,SVM (RBF),0.9333333333333332,0.9332591768631814
IMDB,SVM (RBF),0.8516666666666667,0.8516501375616234
Adult Income,AdaBoost,0.8486769366846023,0.7796872019602132
make_classification,Random Forest,0.8416666666666667,0.8419219820935916
Titanic,Random Forest,0.8395522388059702,0.8259188205259897
